date,open,high,low,close,volume
2010-09-09,24.3245,24.4278,24.0104,24.1137,777259
2010-09-10,24.188,24.3533,24.1178,24.2335,770893
2010-09-13,24.5187,24.56,24.2005,24.3162,1101668
2010-09-14,24.217,24.622,24.1261,24.3699,957439
2010-09-15,24.436,24.6096,24.1922,24.5104,959588
2010-09-16,24.4815,24.6178,24.3162,24.4608,1062489
2010-09-17,24.5352,24.6261,24.2583,24.3286,1468890
2010-09-20,24.3616,24.9609,24.3616,24.9402,1074144
2010-09-21,24.9485,25.151,24.8658,24.9278,1039347
2010-09-22,24.9195,25.06,24.7129,24.9443,1044388
2010-09-23,24.7749,25.0187,24.6468,24.8121,1628408
2010-09-24,25.1262,25.6469,25.0684,25.3783,977939
2010-09-27,25.4898,25.5684,25.2873,25.3328,584018
2010-09-28,25.4444,25.9899,25.1799,25.9527,1403595
2010-09-29,25.9031,26.7337,25.8411,26.5023,2017944
2010-09-30,26.5354,26.6263,25.8659,26.1304,1042819
2010-10-01,26.4527,26.4693,25.8824,26.1552,994964
2010-10-04,25.9651,26.3122,25.8122,26.0064,569471
2010-10-05,26.2295,26.3824,26.0064,26.3535,1079431
2010-10-06,26.2255,26.3494,25.8494,25.8494,1216637
2010-10-07,25.965,26.3039,25.9072,26.0353,901648
2010-10-08,26.0353,27.2586,26.0353,27.1346,1486659
2010-10-11,27.1181,27.2173,26.9693,27.0272,588400
2010-10-12,27.052,28.0397,27.052,27.6884,1864297
2010-10-13,27.8247,27.8247,27.3412,27.4941,1486161
2010-10-14,27.5148,27.6429,27.1056,27.4817,862140
2010-10-15,27.709,27.9652,27.6884,27.7834,970001
2010-10-18,27.8413,28.0314,27.5644,27.7049,815195
2010-10-19,27.3825,27.6801,27.0271,27.0726,1180681
2010-10-20,27.0148,27.4776,26.9486,27.3743,940413
2010-10-21,27.5438,27.9901,27.2834,27.3206,1489636
2010-10-22,27.3909,27.552,27.2669,27.3826,799906
2010-10-25,27.5851,27.6802,27.0603,27.0644,962235
2010-10-26,26.9321,27.0106,26.6511,26.7833,994714
2010-10-27,26.5726,26.9776,26.4155,26.7668,965043
2010-10-28,26.7998,27.0808,26.3039,26.618,1209278
2010-10-29,28.6182,30.7093,28.6182,29.4117,4978458
2010-11-01,29.0811,29.3332,28.5604,28.8703,1885455
2010-11-02,28.9942,29.2339,28.6926,29.1554,1176878
2010-11-03,29.1513,29.4778,28.9571,29.3373,1085220
2010-11-04,29.6679,30.2258,29.6266,29.8084,1472691
2010-11-05,29.7588,29.9448,29.6555,29.8208,793954
2010-11-08,30.0439,30.1307,29.4778,29.6844,904376
2010-11-09,29.6762,29.6762,29.1348,29.3497,1200271
2010-11-10,29.2752,29.2794,28.957,29.1306,1289284
2010-11-11,28.9695,29.7051,28.8331,29.7051,1086046
2010-11-12,29.4282,29.7175,29.2175,29.6638,1061747
2010-11-15,29.7051,30.2134,29.4736,30.0522,1229032
2010-11-16,29.8001,29.8373,29.1967,29.3331,1003061
2010-11-17,29.0811,29.9159,29.0232,29.8952,975458
2010-11-18,30.5275,31.0524,30.2134,30.7796,2972248
2010-11-19,30.6845,31.259,30.5895,31.1474,2906622
2010-11-22,31.0152,31.5276,30.916,31.5152,2247886
2010-11-23,31.2465,31.354,31.0647,31.2176,1187046
2010-11-24,31.5515,31.7978,31.4388,31.6851,1109375
2010-11-26,31.4346,31.8729,31.4263,31.635,387768
2010-11-29,31.347,31.4263,30.9296,31.2635,1196027
2010-11-30,31.0882,31.3846,30.8879,31.2719,1450979
2010-12-01,31.8396,32.2027,31.8396,32.2027,1248538
2010-12-02,32.0691,32.5742,31.9898,32.5742,1179500
2010-12-03,32.4948,32.5408,32.1651,32.2778,1068553
2010-12-06,32.2737,32.5951,32.2319,32.5116,1020803
2010-12-07,32.7579,32.8998,32.4907,32.5742,847831
2010-12-08,32.4823,32.6535,32.2486,32.3112,695060
2010-12-09,32.4323,32.7954,32.3238,32.6535,1034327
2010-12-10,32.6576,32.7995,32.3028,32.595,757169
2010-12-13,32.6326,32.6326,31.8562,32.019,2034340
2010-12-14,32.0273,33.1543,32.0273,32.9498,1329930
2010-12-15,32.8205,32.9707,32.666,32.7328,669849
2010-12-16,32.762,32.7787,32.4072,32.6952,492703
2010-12-17,32.6284,33.1544,32.6159,33.1001,781296
2010-12-20,33.1001,33.1836,32.7537,33.0083,732043
2010-12-21,33.2128,33.4591,33.096,33.4257,734046
2010-12-22,33.4174,33.4466,33.1669,33.313,413313
2010-12-23,33.2003,33.4925,33.1627,33.3589,301115
2010-12-27,33.2045,33.3839,33.1001,33.2462,375246
2010-12-28,33.2921,33.3046,33.0291,33.2253,439442
2010-12-29,33.2921,33.3547,33.2462,33.2796,228320
2010-12-30,33.2253,33.434,33.1126,33.2545,426419
2010-12-31,33.2295,33.9934,33.2045,33.6845,864026
2011-01-03,33.9098,33.9307,33.4674,33.5759,887733
2011-01-04,33.6886,34.1478,33.5676,34.1144,1307726
2011-01-05,34.3565,34.7113,34.1269,34.4817,1467340
2011-01-06,34.6612,34.703,33.6511,33.8431,1277256
2011-01-07,33.9683,34.0935,33.2546,33.6511,1603666
2011-01-10,33.4967,34.0059,33.4215,33.9433,1103282
2011-01-11,34.0142,34.6028,33.9558,34.5652,1265568
2011-01-12,34.7488,35.0034,34.7238,34.8615,1506825
2011-01-13,34.7822,35.0786,34.7447,34.9784,696145
2011-01-14,34.9784,35.066,34.849,35.0577,685961
2011-01-18,35.1454,35.1537,34.7906,34.9826,970297
2011-01-19,34.9241,35.1412,34.778,34.9408,835557
2011-01-20,34.8532,34.9367,34.6654,34.9033,979730
2011-01-21,35.0035,35.3499,34.8991,34.9534,767439
2011-01-24,35.0243,35.1162,34.753,34.8365,677780
2011-01-25,34.8156,34.849,33.7512,33.8639,1631795
2011-01-26,33.8765,34.177,33.7178,33.9975,1335941
2011-01-27,33.9934,34.1603,33.8598,34.0017,1565180
2011-01-28,34.0101,34.0977,33.3798,33.4257,698818
2011-01-31,33.6469,33.9558,33.601,33.601,1021721
2011-02-01,33.7596,34.0267,33.7304,33.9641,1202956
2011-02-02,33.7679,33.9182,33.2712,33.626,1352804
2011-02-03,35.8967,38.7518,35.7798,38.3761,4727598
2011-02-04,38.3343,39.3736,38.0004,38.8185,1683387
2011-02-07,37.9587,39.0105,37.6915,38.1298,2083344
2011-02-08,37.8919,38.7685,37.7959,38.6015,899672
2011-02-09,38.422,38.8185,38.063,38.7851,986741
2011-02-10,38.5765,38.8186,38.0714,38.7476,777206
2011-02-11,38.5722,39.5573,38.4386,39.2985,1286687
2011-02-14,39.1149,39.8829,38.8603,39.549,839065
2011-02-15,39.3862,39.6158,39.0189,39.1274,630697
2011-02-16,39.3862,39.6992,39.2484,39.3319,671351
2011-02-17,39.1566,39.3778,38.9103,39.1357,728201
2011-02-18,39.0439,39.7577,38.9688,39.4363,885981
2011-02-22,39.0398,39.0398,37.871,37.9253,1141182
2011-02-23,38.0505,38.4554,37.3952,37.7333,1073896
2011-02-24,37.6915,38.422,37.6706,38.1757,936486
2011-02-25,38.255,38.8519,38.255,38.8143,697814
2011-02-28,38.8686,39.4864,38.7226,39.4071,1019968
2011-03-01,39.4321,39.6408,38.1798,38.2842,1384776
2011-03-02,38.2258,38.8352,37.9753,38.7517,918036
2011-03-03,38.7935,38.9605,38.1382,38.3636,1117223
2011-03-04,38.3135,38.5931,37.9879,38.5681,675276
2011-03-07,38.6265,38.831,37.9044,37.9378,981649
2011-03-08,38.0714,38.7393,37.9921,38.5723,825041
2011-03-09,38.4512,38.7601,38.1799,38.6975,700403
2011-03-10,38.2258,38.8645,38.1215,38.5055,723110
2011-03-11,38.4012,38.8853,37.7458,38.7643,645557
2011-03-14,38.447,38.5055,37.558,37.9879,572761
2011-03-15,36.7106,37.416,36.2014,37.1781,1011117
2011-03-16,37.1572,37.5245,36.527,36.5353,1149528
2011-03-17,37.032,37.1865,36.7774,36.7941,584532
2011-03-18,36.9527,37.391,36.4685,37.295,1168897
2011-03-21,37.7083,38.3844,37.4536,38.3594,761344
2011-03-22,38.5055,38.7267,37.7208,37.9128,494039
2011-03-23,37.846,37.9128,37.5872,37.7667,495625
2011-03-24,37.8794,38.6224,37.7041,38.6015,709920
2011-03-25,38.6015,39.7034,38.6015,39.4321,1080157
2011-03-28,39.453,40.3462,39.4154,40.0582,1298542
2011-03-29,39.9998,40.0415,39.5699,39.6784,866864
2011-03-30,39.9455,40.1,39.8495,40.0165,848999
2011-03-31,39.9956,40.2753,39.9121,40.221,1066049
2011-04-01,40.3796,40.4464,39.7493,40.0415,1218400
2011-04-04,40.2001,40.2001,39.8495,39.862,974219
2011-04-05,39.7368,39.8954,39.6199,39.7535,1015292
2011-04-06,39.9288,40.1083,39.5824,39.6408,652235
2011-04-07,39.6533,40.1793,39.2568,40.0749,1196612
2011-04-08,40.317,40.3755,39.5448,39.6784,639963
2011-04-11,39.8286,39.933,39.4905,39.6742,459144
2011-04-12,39.4905,39.8495,39.2109,39.4446,511820
2011-04-13,39.6408,40.1292,39.357,40.0624,845075
2011-04-14,39.837,39.8913,39.524,39.6325,523842
2011-04-15,39.791,40.3712,39.4905,40.2293,950093
2011-04-18,39.7326,39.7326,38.9646,39.4488,1328178
2011-04-19,39.4697,39.5782,39.165,39.5156,1224495
2011-04-20,40.0248,40.0248,39.4613,39.5072,1558416
2011-04-21,39.6992,39.7786,39.2401,39.4822,526429
